		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 255.984375	M = 131072	N = 8	m = 9	n = 1048576
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  246  241  256  262  240  244  242  244  4.439276 0.815477 SUCCESS   0
000000011  251  257  278  274  233  258  247  235  7.630437 0.470376 SUCCESS   1
000000101  254  282  231  248  266  264  265  258  6.539907 0.586985 SUCCESS   2
000000111  271  253  259  267  240  261  243  240  4.321473 0.827017 SUCCESS   3
000001001  239  258  249  251  235  261  266  248  4.023114 0.855032 SUCCESS   4
000001011  261  253  256  252  289  237  274  237  8.829680 0.356867 SUCCESS   5
000001101  267  260  290  297  257  271  266  240 14.380311 0.072376 SUCCESS   6
000001111  268  254  254  276  240  279  249  243  6.284730 0.615371 SUCCESS   7
000010001  249  221  250  278  266  245  241  283 11.994074 0.151469 SUCCESS   8
000010011  248  256  275  264  246  259  260  269  3.167306 0.923423 SUCCESS   9
000010101  253  282  245  240  277  255  243  238  8.066801 0.426972 SUCCESS  10
000010111  255  277  271  248  289  264  287  242 12.297609 0.138411 SUCCESS  11
000011001  239  261  263  249  249  254  240  248  3.166043 0.923509 SUCCESS  12
000011011  271  276  279  273  260  258  230  251  8.749755 0.363844 SUCCESS  13
000011101  234  236  254  239  223  235  240  238 13.262003 0.103147 SUCCESS  14
000011111  268  260  254  271  265  248  273  269  4.015664 0.855707 SUCCESS  15
000100011  249  227  267  270  257  258  252  244  5.540412 0.698559 SUCCESS  16
000100101  255  229  269  258  263  242  237  269  6.776523 0.560925 SUCCESS  17
000100111  263  270  287  260  269  283  278  254 10.552028 0.228396 SUCCESS  18
000101001  264  272  255  252  243  249  272  290  7.953670 0.438009 SUCCESS  19
000101011  265  258  256  260  269  255  273  268  2.851523 0.943327 SUCCESS  20
000101101  246  273  271  274  271  238  244  231  9.115159 0.332675 SUCCESS  21
000101111  271  252  248  250  286  248  269  242  6.749755 0.563857 SUCCESS  22
000110011  222  251  247  248  234  293  260  237 14.360614 0.072837 SUCCESS  23
000110101  274  271  248  257  266  268  255  259  3.513392 0.898148 SUCCESS  24
000110111  252  281  268  273  243  260  231  255  7.618063 0.471639 SUCCESS  25
000111001  248  253  287  259  269  293  267  260 10.992937 0.202100 SUCCESS  26
000111011  247  250  256  225  261  251  259  272  5.624882 0.689168 SUCCESS  27
000111101  271  239  265  267  245  246  234  266  6.143568 0.631154 SUCCESS  28
000111111  287  259  234  253  254  260  259  245  6.517558 0.589461 SUCCESS  29
001000011  274  227  295  255  290  255  252  262 15.749250 0.046113 SUCCESS  30
001000101  281  259  250  288  259  249  264  255  7.348619 0.499528 SUCCESS  31
001000111  251  239  257  248  250  251  240  267  3.295336 0.914481 SUCCESS  32
001001011  272  250  261  265  266  236  244  290  8.885361 0.352059 SUCCESS  33
001001101  241  251  217  270  222  231  253  259 15.203038 0.055316 SUCCESS  34
001001111  267  237  272  223  278  282  295  261 18.323619 0.018927 SUCCESS  35
001010011  271  262  270  252  255  239  265  271  4.323872 0.826785 SUCCESS  36
001010101  241  291  258  236  255  241  217  221 19.487887 0.012457 SUCCESS  37
001010111  251  247  263  235  259  267  285  252  6.397356 0.602814 SUCCESS  38
001011011  236  250  253  268  253  255  230  246  5.548366 0.697676 SUCCESS  39
001011101  251  269  282  239  267  239  259  278  8.335866 0.401368 SUCCESS  40
001011111  253  283  254  248  251  251  264  230  6.446725 0.597323 SUCCESS  41
001100101  258  270  264  240  279  244  262  261  5.070462 0.750019 SUCCESS  42
001100111  224  225  245  267  263  278  241  269 12.738897 0.121155 SUCCESS  43
001101011  264  248  266  251  271  255  257  257  1.946094 0.982620 SUCCESS  44
001101101  264  236  260  259  264  258  251  249  2.548619 0.959425 SUCCESS  45
001101111  248  265  235  275  236  258  234  262  7.555185 0.478080 SUCCESS  46
001110101  275  232  235  261  245  267  245  247  7.457457 0.488173 SUCCESS  47
001110111  273  270  245  239  258  288  283  278 12.681574 0.123285 SUCCESS  48
001111011  245  246  238  270  251  248  269  246  4.435993 0.815802 SUCCESS  49
001111101  285  256  271  246  243  260  284  243  9.314149 0.316492 SUCCESS  50
001111111  287  249  249  268  271  271  239  255  7.855690 0.447692 SUCCESS  51
010000011  231  256  259  264  258  279  240  251  6.107836 0.635154 SUCCESS  52
010000111  256  206  292  247  281  241  271  269 20.692811 0.008010 FAILURE  53
010001011  244  266  264  254  272  244  260  240  3.975260 0.859349 SUCCESS  54
010001111  259  269  230  256  217  243  262  251 10.517558 0.230561 SUCCESS  55
010010011  272  212  237  263  247  258  265  240 12.211372 0.142019 SUCCESS  56
010010111  247  260  246  244  258  239  246  275  4.420084 0.817374 SUCCESS  57
010011011  230  248  240  248  234  248  254  267  6.992053 0.537490 SUCCESS  58
010011111  280  254  275  235  269  279  270  254  9.220715 0.324020 SUCCESS  59
010100011  280  292  234  284  236  277  297  271 23.801397 0.002474 FAILURE  60
010100111  286  262  258  261  267  266  257  256  4.804175 0.778287 SUCCESS  61
010101011  249  300  235  250  261  227  236  221 20.003417 0.010323 SUCCESS  62
010101111  271  251  268  264  260  275  284  265  6.880058 0.549627 SUCCESS  63
